qdate,hl_ssm,tenor_bucket
2012-09-17,9.436103115762318,2
2012-09-18,8.972923182304225,2
2012-09-19,11.132538719072187,2
2012-09-20,13.541108209577143,2
2012-09-21,10.766673538536333,2
2012-09-24,9.805867735859078,2
2012-09-25,8.398293907469867,2
2012-09-26,8.674105418950699,2
2012-09-27,8.73713739313574,2
2012-09-28,8.829785499720124,2
2012-10-01,9.266080161293619,2
2012-10-02,9.263642399435208,2
2012-10-03,8.578141032433592,2
2012-10-04,8.478733309678516,2
2012-10-05,8.690891364451495,2
2012-10-09,8.687382630664157,2
2012-10-10,8.67146388036427,2
2012-10-11,8.414110251340462,2
2012-10-12,7.421511325258886,2
2012-10-15,7.24558181769073,2
2012-10-16,6.4847999328515895,2
2012-10-17,6.9308585702145065,2
2012-10-18,7.23073804829873,2
2012-10-19,6.9240971341324276,2
2012-10-22,6.328902898736474,2
2012-10-23,6.342093963329564,2
2012-10-24,5.864454403762059,2
2012-10-25,5.70822408367071,2
2012-10-26,6.030846575256567,2
2012-10-29,6.0936514850349175,2
2012-10-31,6.4092388831671006,2
2012-11-01,7.2806214750873135,2
2012-11-02,7.9747746490009455,2
2012-11-05,6.708494262519915,2
2012-11-06,6.148879843450508,2
2012-11-07,6.173597575835395,2
2012-11-08,6.33174984504141,2
2012-11-09,6.365212772940913,2
2012-11-13,6.659566574843235,2
2012-11-14,6.646998097244309,2
2012-11-15,6.065243019427857,2
2012-11-16,5.934747148744351,2
2012-11-19,6.133782336222604,2
2012-11-20,6.249228866627785,2
2012-11-21,6.5321325583145144,2
2012-11-23,6.9235230357842275,2
2012-11-26,6.599243553859792,2
2012-11-27,6.736129972018031,2
2012-11-28,6.858275624560231,2
2012-11-29,7.276635337086782,2
2012-11-30,7.3266235511187405,2
2012-12-03,7.466284723278178,2
2012-12-04,7.514765137054442,2
2012-12-05,6.503475182259334,2
2012-12-06,6.100821219694108,2
2012-12-07,5.958472269415744,2
2012-12-10,6.601086312383824,2
2012-12-11,6.673695256333503,2
2012-12-12,6.8391899744256825,2
2012-12-13,6.919098314897511,2
2012-12-14,7.094025266015265,2
2012-12-17,7.053609148049641,2
2012-12-18,7.266594889864044,2
2012-12-19,7.352412994677486,2
2012-12-20,7.258578918837917,2
2012-12-21,7.239604342687857,2
2012-12-24,7.662570716951468,2
2012-12-26,7.734009453038874,2
2012-12-27,7.828820125762495,2
2012-12-28,8.23952420104168,2
2012-12-31,7.689485535425891,2
2013-01-02,7.780847740306729,2
2013-01-03,7.9517922604090225,2
2013-01-04,7.511069612214041,2
2013-01-07,7.235589548036572,2
2013-01-08,7.034250413991852,2
2013-01-09,7.0363561475197915,2
2013-01-10,6.945511039656813,2
2013-01-11,7.415329188471354,2
2013-01-14,8.036263253872415,2
2013-01-15,7.370686699770763,2
2013-01-16,7.329448157584334,2
2013-01-17,7.214245128101622,2
2013-01-18,7.00377026321855,2
2013-01-22,6.8229403327325215,2
2013-01-23,6.579866886182742,2
2013-01-24,6.75027112558451,2
2013-01-25,6.600298669163178,2
2013-01-28,6.347553390166572,2
2013-01-29,6.296883214469778,2
2013-01-30,6.282192074828694,2
2013-01-31,6.402444207825532,2
2013-02-01,6.653431647352464,2
2013-02-04,6.844382266745513,2
2013-02-05,6.998508205408718,2
2013-02-06,6.968425703135749,2
2013-02-07,6.995619824998373,2
2013-02-08,7.301595261267888,2
2013-02-11,7.470494841063054,2
2013-02-12,8.268937961830696,2
2013-02-13,9.739248523825271,2
2013-02-14,10.943004970928373,2
2013-02-15,13.9703268643745,2
2013-02-19,15.422376417088119,2
2013-02-20,15.026166013227014,2
2013-02-21,14.044364278111557,2
2013-02-22,16.742151150823542,2
2013-02-25,19.492251076290135,2
2013-02-26,14.214222503898814,2
2013-02-27,14.019009728577956,2
2013-02-28,14.22108550291967,2
2013-03-01,13.74545811816449,2
2013-03-04,13.754183331368415,2
2013-03-05,15.864895819288298,2
2013-03-06,17.29889170706537,2
2013-03-07,19.50770373104819,2
2013-03-08,17.514684897494885,2
2013-03-11,19.916429439834936,2
2013-03-12,15.246974365150702,2
2013-03-13,15.299203496045424,2
2013-03-14,15.715066473423102,2
2013-03-15,16.418175973239997,2
2013-03-18,14.891168726117371,2
2013-03-19,15.754369337788571,2
2013-03-20,15.545058462985807,2
2013-03-21,14.907894392472462,2
2013-03-22,15.143423634161444,2
2013-03-25,13.85295660693432,2
2013-03-26,13.046753567621815,2
2013-03-27,14.504007167482252,2
2013-03-28,15.6575590254044,2
2013-04-01,17.322526794644407,2
2013-04-02,17.394099979007194,2
2013-04-03,18.45001061966385,2
2013-04-04,19.40976913404242,2
2013-04-05,16.19884755229925,2
2013-04-08,14.961359046257616,2
2013-04-09,16.42065425716197,2
2013-04-10,16.30297009476156,2
2013-04-11,16.038396492245962,2
2013-04-12,15.857336207503547,2
2013-04-15,16.31783397578773,2
2013-04-16,19.34944084058334,2
2013-04-17,16.048196145699325,2
2013-04-18,17.129337829678267,2
2013-04-19,17.089221960745796,2
2013-04-22,16.626526107360387,2
2013-04-23,16.237038773992975,2
2013-04-24,15.166612550357865,2
2013-04-25,14.75541491436599,2
2013-04-26,14.629015251877611,2
2013-04-29,17.238249056550103,2
2013-04-30,16.47227009235607,2
2013-05-01,15.24436470043501,2
2013-05-02,14.978094856284502,2
2013-05-03,14.893060412718258,2
2013-05-06,14.415282497778344,2
2013-05-07,14.401500385131278,2
